text,departure,destination
Elle cherche un itinéraire jusqu'à Nice à Paris,Nice,Paris
Je veux aller de Biarritz à Marseille,Biarritz,Marseille
Il prévoit de partir de Lyon à Toulouse demain,Lyon,Toulouse
Nous réservons un billet pour un trajet de Bordeaux à Nantes,Bordeaux,Nantes
Elle va prendre le train de Strasbourg à Lille,Strasbourg,Lille
Il part de Montpellier pour aller à Lyon,Montpellier,Lyon
Elle cherche un vol de Paris à Nice,Paris,Nice
Il prend l'avion pour un trajet entre Lyon et Marseille,Lyon,Marseille
Nous prévoyons de partir de Toulouse pour visiter Bordeaux,Toulouse,Bordeaux
Je cherche un itinéraire en train de Nantes à Rennes,Nantes,Rennes
Nous devons partir demain matin de Marseille à Strasbourg,Marseille,Strasbourg
Je dois rejoindre mes amis de Bordeaux à Paris,Bordeaux,Paris
Il a prévu de voyager de Lille à Toulouse,Lille,Toulouse
Je pars de Nice pour un séjour à Paris,Nice,Paris
Nous avons réservé un billet de Rennes à Lyon,Rennes,Lyon
Ils veulent un trajet de Marseille à Bordeaux,Marseille,Bordeaux
Elle se rendra de Strasbourg à Lille en train,Strasbourg,Lille
Nous allons en voiture de Toulouse à Montpellier,Toulouse,Montpellier
Il cherche un vol de Bordeaux à Paris,Bordeaux,Paris
Elle a prévu un trajet de Marseille à Nantes,Marseille,Nantes
Ils prennent un train de Rennes à Lyon ce soir,Rennes,Lyon
Nous partons demain matin de Paris à Lille,Paris,Lille
Il a acheté un billet de Toulouse à Bordeaux,Toulouse,Bordeaux
Elle prend l'avion de Nice à Lyon la semaine prochaine,Nice,Lyon
Nous cherchons un trajet de Nantes à Paris,Nantes,Paris
Il voyage de Lille à Marseille pour un événement,Lille,Marseille
Elle prend le train de Rennes à Strasbourg,Rennes,Strasbourg
Je prévois de partir de Paris pour aller à Lyon,Paris,Lyon
Nous cherchons un itinéraire de Toulouse à Marseille,Toulouse,Marseille
Elle prévoit un trajet de Lille à Nice,Lille,Nice
Il part en train de Rennes à Paris,Rennes,Paris
Nous allons voyager de Marseille à Toulouse,Marseille,Toulouse
Je cherche un billet de train de Bordeaux à Nantes,Bordeaux,Nantes
Elle a réservé un vol de Paris à Marseille,Paris,Marseille
Il doit rejoindre un client de Strasbourg à Lyon,Strasbourg,Lyon
Nous avons prévu de partir de Lille à Rennes,Lille,Rennes
Je dois prendre un avion de Marseille à Paris,Marseille,Paris
Elle part de Lyon pour visiter Toulouse,Lyon,Toulouse
